"STN
Code",Name of Monitoring Location,Type Water Body,State Name,TemperatureC_mean,Dissolved Oxygen_mg/L_mean,pH_mean,Conductivity_mhos/cm_mean,BOD_mg/L_mean,Nitrate_N_mg/L_mean,Fecal_Coliform_MPN/100ml_mean,Total_Coliform_MPN/100ml_mean
4194,LALBAHADUR DIGHI POND,POND,TRIPURA,24.5,5.5,7.1,166.5,1.45,1.49,32,165
3395,"MAHADEB DIGHI, SOUTH TRIPURA",POND,TRIPURA,24,6.1,7.15,163,1.25,1.555,40,167
4196,RADHANAGAR POND,POND,TRIPURA,24.75,3.7,7.2,181.5,7.05,3.745,70.5,320
3392,"SHIPAHIJALA POND, WEST TRIPURA",POND,TRIPURA,24,5.45,6.9,160,1.5,1.79,37.5,147
2499,"SAMARPUR JHEEL, RAEBARELI",LAKE,UTTAR PRADESH,22.5,6.4,7.9,311,4.5,0.86,3950,7100
3437,BHEEMTAL LAKE,LAKE,UTTARAKHAND,17,8.2,7.6,185,1.3,0.345,120,375
1362,"NAINI LAKE AT NAINITAL (WATER
INTAKE POINT)",LAKE,UTTARAKHAND,15.5,8.6,7.5,405,1.5,0.34,245,635
2539,"BELBONI LAKE NEAR BARJORA,
BANKURA",LAKE,WEST BENGAL,24.5,8.15,7.55,168,1.45,0.3,1650,2650
2505,"HANUMAN GHAT ON DUDHPUKUR AT
TARAKESHWAR, HOOGHLY",LAKE,WEST BENGAL,28.25,8.55,8.25,665.5,5.85,0.535,19150,29450
2503,"HATISHALA GHAT ON DUDHPUKUR AT
TARAKESHWAR, HOOGHLY",LAKE,WEST BENGAL,28.25,7.7,8.05,717.5,5.05,0.55,46700,81650
4729,JOREPOKHARI LAKE AT SUKHIAPOKHARI,LAKE,WEST BENGAL,15,6.65,7.4,58.5,1.4,0.3,2530,6555
2519,"KOCHBIHAR LAKE (SAGAR DIGHI),
COOCHBEHAR",LAKE,WEST BENGAL,25.5,7.5,7.15,50,1.6,0.3,2700,7150
4720,LAKE RASIKBHEEL AT COOCHBEHAR,LAKE,WEST BENGAL,26,7.85,7.55,80,1.75,0.3,1385,4850
2504,"MAINH GHAT ON DUDHPUKUR AT TARAKESHWAR, HOOGHLY",LAKE,WEST BENGAL,28.25,7.9,8.15,672,5.4,0.6,126500,281500
2520,"MIRIKH LAKE, DARJEELING",LAKE,WEST BENGAL,14,6.35,7.25,131.5,2.3,0.31,3550,9500
1765,"RABINDRASAROVAR NATIONAL LAKE,
CALCUTTA, WEST BENGAL",LAKE,WEST BENGAL,26.5,7.45,7.85,539,2.95,1.1,560,1400
2544,SAHEBBANDH AT PURULIA,LAKE,WEST BENGAL,27,9.3,7.3,366.5,5,0.55,6250,8150
2522,SINCHAL LAKE FOR DARJEELING,LAKE,WEST BENGAL,11.5,7.6,7.25,21,1.05,0.3,90,160
2521,"WATER RESERVIOR AT DELO LAKE,
DARJELLING",LAKE,WEST BENGAL,16.5,7.7,7.25,28,1.4,0.3,95,220
4725,WATER RESERVIOR ST. HELENS SCHOOL,LAKE,WEST BENGAL,13,7.8,7.4,44.5,1.3,0.3,90,220
